airline,source_airport,departure_airport_name,departure_city,departure_country,dest_airport,arrival_airport_name,arrival_city,arrival_country,equipment
2B,GYD,Heydar Aliyev International Airport,Baku,Azerbaijan,NBC,Begishevo Airport,Nizhnekamsk,Russia,CR2
2B,NBC,Begishevo Airport,Nizhnekamsk,Russia,GYD,Heydar Aliyev International Airport,Baku,Azerbaijan,CR2
2J,ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,BOY,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,CRJ
2J,ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,E70 CRJ M87
2J,ACC,Kotoka International Airport,Accra,Ghana,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,CRJ
2J,BKO,Modibo Keita International Airport,Bamako,Mali,ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,M87
2J,BKO,Modibo Keita International Airport,Bamako,Mali,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,M87
2J,BKO,Modibo Keita International Airport,Bamako,Mali,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,CRJ
2J,BOY,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,CRJ
2J,COO,Cadjehoun Airport,Cotonou,Benin,LFW,Lomé-Tokoin Airport,Lome,Togo,M87
2J,COO,Cadjehoun Airport,Cotonou,Benin,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,M87
2J,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,BKO,Modibo Keita International Airport,Bamako,Mali,M87
2J,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,M87
2J,LFW,Lomé-Tokoin Airport,Lome,Togo,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,M87 CRJ
2J,NIM,Diori Hamani International Airport,Niamey,Niger,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,CRJ
2J,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,E70 CRJ M87
2J,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,ACC,Kotoka International Airport,Accra,Ghana,CRJ
2J,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,BKO,Modibo Keita International Airport,Bamako,Mali,M87 CRJ
2J,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,COO,Cadjehoun Airport,Cotonou,Benin,M87
2J,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,M87
2J,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,LFW,Lomé-Tokoin Airport,Lome,Togo,CRJ
2J,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,NIM,Diori Hamani International Airport,Niamey,Niger,CRJ
2K,BOG,El Dorado International Airport,Bogota,Colombia,GYE,José Joaquín de Olmedo International Airport,Guayaquil,Ecuador,319
2K,BOG,El Dorado International Airport,Bogota,Colombia,UIO,Mariscal Sucre International Airport,Quito,Ecuador,319 320
2K,CLO,Alfonso Bonilla Aragon International Airport,Cali,Colombia,GYE,José Joaquín de Olmedo International Airport,Guayaquil,Ecuador,319
2K,GYE,José Joaquín de Olmedo International Airport,Guayaquil,Ecuador,BOG,El Dorado International Airport,Bogota,Colombia,319
2K,GYE,José Joaquín de Olmedo International Airport,Guayaquil,Ecuador,CLO,Alfonso Bonilla Aragon International Airport,Cali,Colombia,319
2K,UIO,Mariscal Sucre International Airport,Quito,Ecuador,BOG,El Dorado International Airport,Bogota,Colombia,319 320
2L,BDS,Brindisi – Salento Airport,Brindisi,Italy,ZRH,Zürich Airport,Zurich,Switzerland,100
2L,BOD,Bordeaux-Mérignac Airport,Bordeaux,France,ZRH,Zürich Airport,Zurich,Switzerland,100
2L,BRS,Bristol Airport,Bristol,United Kingdom,ZRH,Zürich Airport,Zurich,Switzerland,100
2L,GVA,Geneva Cointrin International Airport,Geneva,Switzerland,LPA,Gran Canaria Airport,Gran Canaria,Spain,319
2L,LCA,Larnaca International Airport,Larnaca,Cyprus,ZRH,Zürich Airport,Zurich,Switzerland,319
2L,LPA,Gran Canaria Airport,Gran Canaria,Spain,ZRH,Zürich Airport,Zurich,Switzerland,319
2L,RMF,Marsa Alam International Airport,Marsa Alam,Egypt,ZRH,Zürich Airport,Zurich,Switzerland,319
2L,TFS,Tenerife South Airport,Tenerife,Spain,GVA,Geneva Cointrin International Airport,Geneva,Switzerland,319
2L,ZRH,Zürich Airport,Zurich,Switzerland,BDS,Brindisi – Salento Airport,Brindisi,Italy,100
2L,ZRH,Zürich Airport,Zurich,Switzerland,BOD,Bordeaux-Mérignac Airport,Bordeaux,France,100
2L,ZRH,Zürich Airport,Zurich,Switzerland,BRS,Bristol Airport,Bristol,United Kingdom,100
2L,ZRH,Zürich Airport,Zurich,Switzerland,LCA,Larnaca International Airport,Larnaca,Cyprus,319
2L,ZRH,Zürich Airport,Zurich,Switzerland,LPA,Gran Canaria Airport,Gran Canaria,Spain,319
2L,ZRH,Zürich Airport,Zurich,Switzerland,RMF,Marsa Alam International Airport,Marsa Alam,Egypt,319
2N,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,MHQ,Mariehamn Airport,Mariehamn,Finland,SF3
2N,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,POR,Pori Airport,Pori,Finland,SF3
2N,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,TRF,"Sandefjord Airport, Torp",Sandefjord,Norway,SF3
