airline,source_airport,departure_airport_name,departure_city,departure_country,dest_airport,arrival_airport_name,arrival_city,arrival_country,equipment,flight
SpiceJet,GYD,Heydar Aliyev International Airport,Baku,Azerbaijan,NBC,Begishevo Airport,Nizhnekamsk,Russia,CR2,SG-8709
SpiceJet,NBC,Begishevo Airport,Nizhnekamsk,Russia,GYD,Heydar Aliyev International Airport,Baku,Azerbaijan,CR2,SG-8157
AirAsia,ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,BOY,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,CRJ,I5-764
Vistara,ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,E70 CRJ M87,UK-995
Vistara,ACC,Kotoka International Airport,Accra,Ghana,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,CRJ,UK-963
Vistara,BKO,Modibo Keita International Airport,Bamako,Mali,ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,M87,UK-945
Vistara,BKO,Modibo Keita International Airport,Bamako,Mali,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,M87,UK-927
Vistara,BKO,Modibo Keita International Airport,Bamako,Mali,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,CRJ,UK-951
GO_FIRST,BOY,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,CRJ,G8-334
GO_FIRST,COO,Cadjehoun Airport,Cotonou,Benin,LFW,Lomé-Tokoin Airport,Lome,Togo,M87,G8-336
GO_FIRST,COO,Cadjehoun Airport,Cotonou,Benin,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,M87,G8-392
GO_FIRST,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,BKO,Modibo Keita International Airport,Bamako,Mali,M87,G8-338
Indigo,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,M87,6E-5001
Indigo,LFW,Lomé-Tokoin Airport,Lome,Togo,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,M87 CRJ,6E-6202
Indigo,NIM,Diori Hamani International Airport,Niamey,Niger,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,CRJ,6E-549
Indigo,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,E70 CRJ M87,6E-6278
Air_India,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,ACC,Kotoka International Airport,Accra,Ghana,CRJ,AI-887
Air_India,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,BKO,Modibo Keita International Airport,Bamako,Mali,M87 CRJ,AI-665
AirAsia,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,COO,Cadjehoun Airport,Cotonou,Benin,M87,I5-747
AirAsia,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,DKR,Léopold Sédar Senghor International Airport,Dakar,Senegal,M87,I5-747
GO_FIRST,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,LFW,Lomé-Tokoin Airport,Lome,Togo,CRJ,G8-266
GO_FIRST,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,NIM,Diori Hamani International Airport,Niamey,Niger,CRJ,G8-101
GO_FIRST,BOG,El Dorado International Airport,Bogota,Colombia,GYE,José Joaquín de Olmedo International Airport,Guayaquil,Ecuador,319,G8-103
Air_India,BOG,El Dorado International Airport,Bogota,Colombia,UIO,Mariscal Sucre International Airport,Quito,Ecuador,319 320,AI-441
Indigo,CLO,Alfonso Bonilla Aragon International Airport,Cali,Colombia,GYE,José Joaquín de Olmedo International Airport,Guayaquil,Ecuador,319,6E-5328
Vistara,GYE,José Joaquín de Olmedo International Airport,Guayaquil,Ecuador,BOG,El Dorado International Airport,Bogota,Colombia,319,UK-933
Indigo,GYE,José Joaquín de Olmedo International Airport,Guayaquil,Ecuador,CLO,Alfonso Bonilla Aragon International Airport,Cali,Colombia,319,6E-2046
AirAsia,UIO,Mariscal Sucre International Airport,Quito,Ecuador,BOG,El Dorado International Airport,Bogota,Colombia,319 320,I5-744
SpiceJet,BDS,Brindisi – Salento Airport,Brindisi,Italy,ZRH,Zürich Airport,Zurich,Switzerland,100,SG-8169
Indigo,BOD,Bordeaux-Mérignac Airport,Bordeaux,France,ZRH,Zürich Airport,Zurich,Switzerland,100,6E-5041
GO_FIRST,BRS,Bristol Airport,Bristol,United Kingdom,ZRH,Zürich Airport,Zurich,Switzerland,100,G8-165
Indigo,GVA,Geneva Cointrin International Airport,Geneva,Switzerland,LPA,Gran Canaria Airport,Gran Canaria,Spain,319,6E-2373
Vistara,LCA,Larnaca International Airport,Larnaca,Cyprus,ZRH,Zürich Airport,Zurich,Switzerland,319,UK-813
Vistara,LPA,Gran Canaria Airport,Gran Canaria,Spain,ZRH,Zürich Airport,Zurich,Switzerland,319,UK-817
Vistara,RMF,Marsa Alam International Airport,Marsa Alam,Egypt,ZRH,Zürich Airport,Zurich,Switzerland,319,UK-819
Vistara,TFS,Tenerife South Airport,Tenerife,Spain,GVA,Geneva Cointrin International Airport,Geneva,Switzerland,319,UK-801
